SSIP, SDFP, SDFB, SFE, RFIP, ENTROPY,CLASS
96,0.102189534200723,16.1412976197912,96,0.180555555555556,0.942097380634313,1
17,0.085746940020668,14.4188871717006,17,0.452830188679245,1.67464375925982,0
1,14.1735277503129,993.026252869927,1,1,0.477121254719662,0
13,3.56279270316913,235.81784126741,13,0.41025641025641,1.54375943424723,0
20,2.97309619445765,297.630081134499,20,0.786885245901639,1.70646290202114,0
17,6.00655335030482,424.242684644477,17,0.576923076923077,1.51741779251175,0
21,2.30084372859911,230.292325525871,21,1,1.75604196346035,0
15,0.126983060531391,16.7726309870704,15,0.377777777777778,1.51704534941945,0
2,5.56616764230312,368.242921030247,2,1,0.686707799208691,0
21,4.10941901167979,409.161289653907,21,1,1.7650355928571,0
21,2.85216504986079,285.348815427721,21,1,1.75651056606843,0
15,4.52872530613273,390.153811924838,15,0.391304347826087,1.50055682950459,0
68,7.6084460468951,548.284220211179,68,0.029411764705882,0.26933957797125,1
162,0.422579223059951,45.4585158494694,162,0.100409836065574,0.83467193740149,1
21,5.46019169618931,542.490438849382,21,0.969230769230769,1.75177604623207,0
18,0.08606389996023,15.6874990847481,18,0.660714285714286,1.6678416364784,0
21,6.12710132112251,499.548178055264,21,0.968253968253968,1.63465204744477,0
21,0.128370115006436,16.8060757136588,21,0.984375,1.74262703453828,0
41,1.11321540087534,85.8602111910772,41,0.08130081300813,0.625681255513055,1
15,3.57863063506451,244.628257515357,15,0.577777777777778,1.47592607125023,0
40,0.166598625567009,18.9234817955181,40,0.180327868852459,0.969393133185947,1
21,0.144871378939478,16.0676269207387,21,0.9375,1.73674982132526,0
14,5.30127030154069,375.351759860993,14,0.431818181818182,1.49138873643657,0
132,2.49865465531601,169.58270695463,132,0.047738693467337,0.513174954823723,1
1,1.99608992783391,142.297169244507,1,1,0.469991547036201,0
1,8.56934033342124,595.240025115919,1,1,0.469991547036201,0
21,1.79932439779673,181.067516775602,21,1,1.75351940968532,0
1,12.9926361355192,884.954695168063,1,1,0.475457011052047,0
1,10.2072278312968,715.782002428114,1,1,0.475457011052047,0
14,5.98511463735008,467.105769309503,14,0.604651162790698,1.4951755731048,0
21,2.15357841742529,216.33972612537,21,1,1.7554538589789,0
115,0.914756160986453,64.785071409945,115,0.028901734104046,0.379892609959105,1
13,3.4201764679754,223.756590374487,13,0.325,1.55399775243033,0
21,3.27799806371055,327.359931955723,21,0.969230769230769,1.74907059001584,0
14,4.28016034411289,416.829026119798,14,0.568181818181818,1.48650196551318,0
21,1.74355384935258,174.36170156532,21,1,1.75671486134783,0
32,1.37564328663547,102.460424291301,32,0.104166666666667,0.676772734284742,1
103,0,11.6303292358725,103,0.070739549839228,0.569943578334685,1
15,7.83160659641552,558.022130053946,15,0.377777777777778,1.48824644750556,0
21,0.191750320744657,21.0322794934897,21,1,1.75686706985919,0
71,3.93610621060745,274.810011048449,71,0.018779342723005,0.099072924077325,1
30,6.9291555288309,460.237602104801,30,0.043478260869565,0.167607960055889,1
21,0.432914679773953,47.3051912867916,21,1,1.74661126344978,0
220,0.936113702637627,83.2304163701064,220,0.049848942598187,0.693397650270335,1
15,3.23960666925432,308.14837262176,15,0.608695652173913,1.57304800224095,0
15,0.176684695969408,18.422009864577,15,0.511111111111111,1.5604313876155,0
22,0.147405546238018,16.4375210650947,22,0.298507462686567,1.40973280547145,1
30,6.8088698760865,500.56527484328,30,0.066666666666667,0.443756549930964,1
21,4.5306718071093,451.700549258449,21,0.952380952380952,1.75917814646507,0
76,0.111102430216445,17.561231882598,76,0.197368421052632,1.10101694165312,1
21,8.42175587374361,583.994255749353,21,0.920634920634921,1.63969719577425,0
19,0.115076699325384,15.6653209088296,19,0.807017543859649,1.67775407083713,0
21,6.89779784084353,522.261680175483,21,0.968253968253968,1.66366285188387,0
21,8.38846550760366,588.065610094024,21,0.888888888888889,1.66893271452763,0
15,4.17680550272681,382.685566927067,15,0.553191489361702,1.49882796153237,0
77,5.04144839920416,347.440513141454,77,0.017167381974249,0.07877827346857,1
146,0.806041489022698,82.7839208121251,146,0.114155251141553,0.898090460634724,1
1,4.33012701892219,295.721892155451,1,1,0.469991547036201,0
20,6.44336233015236,459.488337073418,20,0.885245901639344,1.63239777712981,0
71,3.97225133150132,276.272267958186,71,0.018604651162791,0.092021225466156,1
21,5.6032778053932,422.498861133008,21,0.888888888888889,1.6549520135979,0
77,0.7097988194398,55.1031892727289,77,0.042918454935622,0.47455444017775,1
239,3.33637975384534,228.158392744181,239,0.079497907949791,0.725050426809476,1
21,3.74642134515629,373.065761680084,21,1,1.75798101754279,0
176,1.65816289390769,113.51739667961,176,0.00377358490566,0.010797346499571,1
1,7.13100351091376,463.367103562996,1,1,0.475586272773343,0
21,4.14642094640082,413.369101487912,21,1,1.75500710764092,0
21,0.106291858501362,15.8036485066724,21,1,1.76354424046519,0
39,7.31318427091845,484.063516639828,39,0.033613445378151,0.139453148511458,1
21,5.67767889442635,563.973706624267,21,0.938461538461538,1.75314765068846,0
31,8.15871286789464,545.958376412961,31,0.064516129032258,0.517150598271616,1
40,1.25446384752197,93.1703107081283,40,0.081967213114754,0.608789962321815,1
77,3.79835339936123,265.509974870095,77,0.017241379310345,0.093001724536143,1
78,1.27544514859154,108.52138487125,78,0.046610169491526,0.441581745830179,1
119,0.067573026892919,14.2992333369924,119,0.114206128133705,0.790126092794855,1
101,0.054392589851108,12.4006733537957,101,0.05921052631579,0.573131430669305,1
21,2.96759148995921,296.950116520462,21,1,1.7627565658532,0
21,4.89862541599457,487.526319084809,21,1,1.76896882023316,0
1,11.4120276463037,777.161099772756,1,1,0.475457011052047,0
40,1.17829054037013,86.4059734823913,40,0.082644628099174,0.622573267238134,1
78,1.20268985980802,85.6295744760399,78,0.042553191489362,0.472803160460733,1
12,4.08771350627728,287.875272330676,12,0.710526315789474,1.59596963626877,0
77,3.2770640583435,228.083154389496,77,0.017241379310345,0.079846600261006,1
21,3.04397860886684,304.641628050634,21,0.923076923076923,1.75422277884491,0
21,5.37678443423461,534.761444631529,21,0.920634920634921,1.73167009648947,0
15,6.00749374501616,594.965825073736,15,0.466666666666667,1.52849383999715,0
89,3.88309486617697,280.898308377829,89,0.02247191011236,0.225829684675845,1
122,0.156260494027138,22.4335063277539,122,0.098360655737705,0.755979265912979,1
21,1.88631776801062,189.781850972633,21,1,1.76345843163123,0
114,1.03106376995337,76.8974945798406,114,0.029154518950437,0.333992685683084,1
14,5.31245915016974,375.791979420772,14,0.636363636363636,1.518993178148,0
3,4.69208524404068,321.461967219786,3,1,0.896927568832303,0
3,1.50593240551238,104.085371416623,3,1,0.933854890128349,1
21,4.73757053443145,472.130634307909,21,0.815384615384615,1.74079370661975,0
21,4.85877029579851,484.434612307128,21,0.953846153846154,1.75626033158997,0
13,3.5066718416248,233.371282661201,13,0.560975609756098,1.56769078056369,0
20,0.136058538696754,16.5472259871061,20,0.75,1.7026896006236,0
29,1.48334773833397,109.37703431,29,0.113636363636364,0.704735316901479,1
36,6.78309010132,460.188579806225,36,0.036363636363636,0.157578476780517,1
21,0.163623921482315,18.0367443497445,21,1,1.77373381132479,0
3,0.866025403784439,101.159450250582,3,0.333333333333333,0.827832488075948,0
30,7.57058820924161,516.022266095813,30,0.065217391304348,0.531647461621779,1
274,1.03581775596278,91.8929591555028,274,0.046228710462287,0.652500592597259,1
226,1.4153954636227,120.629774452462,226,0.054411764705882,0.712205397047534,1
21,4.88037691552474,485.35562946183,21,1,1.74659680107829,0
21,0.714516185336636,73.9615647997803,21,1,1.76375236526221,0
37,6.30572565213553,414.045018305981,37,0.035714285714286,0.155702728397338,1
38,4.50785547669964,319.684386270597,38,0.051724137931035,0.384714391774208,1
76,0.897285644473251,67.6605472397155,76,0.043668122270742,0.432548097968952,1
